"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2419","test_quarantined_failure_becomes_xfail_and_run_stays_green[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_quarantine","",""
"Fill the card form and complete payment for the given card.","8367","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestSuccessfulPayment","test_card","",""
"","1605","test_framework_items_never_rerun[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_retry_optout","",""
"","1","test_far_expiry_is_not_listed[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","0","test_missing_history_starts_fresh[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","12","test_two_recent_incidents_propose_quarantine[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","5","test_far_expiry_is_not_listed[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","4","test_str_shows_only_last_four_digits[webkit-short-masks-everything]","tests.framework","2026-07-16","passed","2026-07-16","TestCardMasking","test_models","",""
"","9","test_main_end_to_end[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","2","test_marker_expiring_within_week_is_listed[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","2213","test_non_iso_expires_is_rejected[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_quarantine","",""
"","0","test_str_shows_only_last_four_digits[firefox-visa-grouped]","tests.framework","2026-07-16","passed","2026-07-16","TestCardMasking","test_models","",""
"Goto card.html and assert #card-errors is empty.","2576","#card-errors is empty on load","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestPageLoadAndInitialState","test_card","",""
"","1345","test_unmarked_test_is_untouched[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_quarantine","",""
"","1","test_str_never_contains_the_full_pan[firefox]","tests.framework","2026-07-16","passed","2026-07-16","TestCardMasking","test_models","",""
"","1452","test_inert_without_github_run_id[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_run_record","",""
"","1","test_raises_for_invalid_environment[firefox]","tests.framework","2026-07-16","passed","2026-07-16","TestGetBaseUrl","test_config","",""
"","0","test_str_shows_only_last_four_digits[webkit-amex-uneven]","tests.framework","2026-07-16","passed","2026-07-16","TestCardMasking","test_models","",""
"","0","test_quarantine_demo_shielded_failure[chromium]","tests.framework","2026-07-16","skipped","2026-07-16","","test_quarantine_demo","",""
"","2357","test_quarantined_pass_is_recorded_as_xpass[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_quarantine","",""
"Goto card.html and assert #name input value is 'Jenny Rosen'.","2517","Name input is pre-filled with ""Jenny Rosen""","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestPageLoadAndInitialState","test_card","",""
"","0","test_clean_browser_shown_alongside_dirty_one[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","0","test_merge_is_idempotent_per_run_id[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","1","test_fail_rate_below_threshold_is_quiet[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","1","test_repr_masks_the_pan[webkit]","tests.framework","2026-07-16","passed","2026-07-16","TestCardMasking","test_models","",""
"","8","test_main_end_to_end[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"Test form validation: invalid card number.","6989","Form validation - invalid card format","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestCardFormValidation","test_card","",""
"","1528","test_outcomes_and_run_metadata_recorded[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_run_record","",""
"","2847","test_fail_then_pass_is_counted_flaky[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_flaky_summary","",""
"","1","test_currently_quarantined_test_is_never_proposed[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","1","test_expiring_section_renders[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","0","test_trailing_fail_streak_is_regression_not_flake[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"Fill the card form and complete payment for the given card.","5048","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestSuccessfulPayment","test_card","",""
"","0","test_marker_expiring_within_week_is_listed[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","0","test_str_shows_only_last_four_digits[firefox-short-masks-everything]","tests.framework","2026-07-16","passed","2026-07-16","TestCardMasking","test_models","",""
"","6131","test_xdist_forwards_rerun_reports[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_flaky_summary","",""
"","17","test_raises_for_invalid_environment[webkit]","tests.framework","2026-07-16","passed","2026-07-16","TestGetBaseUrl","test_config","",""
"","0","test_returns_correct_url_for_every_registered_combination[firefox-acceptapayment-local]","tests.framework","2026-07-16","passed","2026-07-16","TestGetBaseUrl","test_config","",""
"","1","test_empties_allure_results_dir_contents_but_keeps_directory[firefox]","tests.framework","2026-07-16","passed","2026-07-16","TestCleanAndCreateLogDirs","test_log_helpers","",""
"","1","test_corrupt_history_starts_fresh[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","0","test_fail_rate_below_threshold_is_quiet[chromium]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","3","test_fail_rate_branch_proposes[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"Goto card.html and assert page title is 'Card'.","4556","Page title is ""Card""","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestPageLoadAndInitialState","test_card","",""
"","2206","test_fail_then_fail_lands_in_failed_after_retry[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_flaky_summary","",""
"","6","test_unknown_app_error_lists_registered_apps[chromium]","tests.framework","2026-07-16","passed","2026-07-16","TestGetBaseUrl","test_config","",""
"","3","test_two_recent_incidents_propose_quarantine[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","11","test_str_shows_only_last_four_digits[webkit-visa-grouped]","tests.framework","2026-07-16","passed","2026-07-16","TestCardMasking","test_models","",""
"","1","test_creates_missing_log_and_allure_dirs[chromium]","tests.framework","2026-07-16","passed","2026-07-16","TestCleanAndCreateLogDirs","test_log_helpers","",""
"","2029","test_unmarked_test_is_untouched[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_quarantine","",""
"","1763","test_flaky_demo_marker_stays_retry_eligible[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_retry_optout","",""
"","9","test_release_after_ten_consecutive_xpass[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"Goto card.html and assert status 200.","2951","Navigates directly to card.html and returns 200","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestPageLoadAndInitialState","test_card","",""
"","1","test_removes_regular_files_and_subdirs_from_log_dir[firefox]","tests.framework","2026-07-16","passed","2026-07-16","TestCleanAndCreateLogDirs","test_log_helpers","",""
"Goto card.html and assert #submit/pay button is enabled.","6413","Pay button is enabled on load","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestPageLoadAndInitialState","test_card","",""
"","5","test_main_end_to_end[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","0","test_str_shows_only_last_four_digits[chromium-visa-grouped]","tests.framework","2026-07-16","passed","2026-07-16","TestCardMasking","test_models","",""
"","1","test_removes_regular_files_and_subdirs_from_log_dir[chromium]","tests.framework","2026-07-16","passed","2026-07-16","TestCleanAndCreateLogDirs","test_log_helpers","",""
"Fill the card form and complete payment for the given card.","8541","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestSuccessfulPayment","test_card","",""
"Fill the card form and complete payment for the given card.","5469","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestSuccessfulPayment","test_card","",""
"","0","test_raises_for_invalid_environment[chromium]","tests.framework","2026-07-16","passed","2026-07-16","TestGetBaseUrl","test_config","",""
"","0","test_healthy_report_says_so_explicitly[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","1","test_str_shows_only_last_four_digits[firefox-exactly-four-masks-everything]","tests.framework","2026-07-16","passed","2026-07-16","TestCardMasking","test_models","",""
"Test form validation: empty fields, invalid card number, expired date.","9663","Form validation - empty fields, invalid card format, expired date","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestCardFormValidation","test_card","",""
"","1","test_merge_appends_new_run[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","2475","test_xdist_controller_writes_exactly_one_complete_file[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_run_record","",""
"","1","test_fail_rate_branch_proposes[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","1","test_str_shows_only_last_four_digits[chromium-short-masks-everything]","tests.framework","2026-07-16","passed","2026-07-16","TestCardMasking","test_models","",""
"Goto card.html and assert Stripe iframe in #card-element.","4669","Stripe card element iframe is mounted within #card-element","tests.accept_a_payment","2026-07-16","passed","2026-07-16","TestPageLoadAndInitialState","test_card","",""
"","0","test_failing_not_flaky_section_renders[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","2315","test_unmarked_test_is_untouched[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_quarantine","",""
"","6","test_trailing_fail_streak_is_regression_not_flake[webkit]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
"","1","test_release_needs_the_full_streak[firefox]","tests.framework","2026-07-16","passed","2026-07-16","","test_flake_analysis","",""
